title,cluster
Inception,1
Interstellar,0
The Dark Knight,0
Avatar,3
The Avengers,1
Deadpool,0
Avengers Infinity War,2
Fight Club,1
Guardians of the Galaxy,2
Pulp Fiction,1
Forrest Gump,4
Harry Potter and the Philosopher's Stone,1
Iron Man,3
Django Unchained,1
The Shawshank Redemption,1
Avengers Endgame,2
The Matrix,1
Titanic,0
Joker,1
The Lord of the Rings The Fellowship of the Ring,0
The Lord of the Rings The Return of the King,1
Shutter Island,0
The Wolf of Wall Street,1
Avengers Age of Ultron,2
Captain America Civil War,1
The Dark Knight Rises,3
Black Panther,2
Doctor Strange,2
Mad Max Fury Road,3
Inglourious Basterds,1
The Hunger Games,3
Spider-Man Homecoming,2
Harry Potter and the Chamber of Secrets,1
Guardians of the Galaxy Vol. 2,2
The Lord of the Rings The Two Towers,0
Harry Potter and the Prisoner of Azkaban,1
Batman Begins,0
Thor Ragnarok,2
Inside Out,2
Se7en,3
Harry Potter and the Goblet of Fire,1
Pirates of the Caribbean The Curse of the Black Pearl,0
Harry Potter and the Deathly Hallows Part 2,1
Star Wars,1
Wonder Woman,1
Up,2
Ant-Man,1
The Godfather,3
The Martian,1
Back to the Future,0
Star Wars The Force Awakens,2
Spider-Man No Way Home,2
Harry Potter and the Order of the Phoenix,1
Harry Potter and the Half-Blood Prince,1
Logan,1
Finding Nemo,2
It,0
John Wick,1
Fantastic Beasts and Where to Find Them,1
Harry Potter and the Deathly Hallows Part 1,1
Coco,2
Captain America The Winter Soldier,1
Spider-Man,2
WALL·E,0
Gone Girl,0
The Hobbit An Unexpected Journey,1
"Monsters, Inc.",1
Toy Story,2
The Revenant,0
The Lion King,2
Gladiator,0
The Truman Show,2
The Incredibles,2
Arrival,0
Parasite,1
Split,0
Deadpool 2,1
The Shining,4
Kill Bill Vol. 1,4
The Hunger Games Catching Fire,3
The Intouchables,1
Get Out,1
The Imitation Game,1
Bohemian Rhapsody,0
The Green Mile,1
The Maze Runner,1
The Hangover,1
The Empire Strikes Back,0
Shrek,2
Ratatouille,1
Kingsman The Secret Service,4
La La Land,0
Frozen,0
Dunkirk,0
Zootopia,2
Jurassic Park,3
The Silence of the Lambs,0
Pirates of the Caribbean Dead Man's Chest,1
Now You See Me,1
The Prestige,3
I Am Legend,1
Saving Private Ryan,0
Baby Driver,1
Schindler's List,3
Return of the Jedi,1
Spider-Man Far From Home,1
Skyfall,4
Gravity,3
X-Men Days of Future Past,1
Ready Player One,2
Catch Me If You Can,4
Rogue One A Star Wars Story,1
Despicable Me,2
Spider-Man 2,2
Spider-Man Into the Spider-Verse,1
Charlie and the Chocolate Factory,2
Whiplash,3
The Departed,0
The Grand Budapest Hotel,1
Toy Story 3,2
Memento,3
Eternal Sunshine of the Spotless Mind,1
Léon The Professional,3
V for Vendetta,3
Her,1
Pirates of the Caribbean At World's End,1
The Hobbit The Battle of the Five Armies,1
Reservoir Dogs,0
The Hateful Eight,0
Alien,3
Sherlock Holmes,1
A Quiet Place,0
Kill Bill Vol. 2,4
Toy Story 2,2
Men in Black,3
Edge of Tomorrow,1
300,1
Blade Runner,1
Star Wars Episode III - Revenge of the Sith,3
Hacksaw Ridge,0
Brave,1
Maleficent,1
Life of Pi,1
Ex Machina,1
Blade Runner 2049,1
Ice Age,1
The Hobbit The Desolation of Smaug,0
Once Upon a Time… in Hollywood,2
Life Is Beautiful,1
American Sniper,1
How to Train Your Dragon,1
Incredibles 2,2
Edward Scissorhands,1
John Wick Chapter 2,1
X-Men First Class,1
A Clockwork Orange,4
