id,title,vote_average,vote_count,status,release_date,revenue,runtime,adult,backdrop_path,budget,homepage,imdb_id,original_language,original_title,overview,popularity,poster_path,tagline,genres,production_companies,production_countries,spoken_languages,keywords,release_year,release_month,release_day,text,processed_text
755908,Sugar Ray Robinson: Pound for Pound,0.0,0,Released,1970-07-01,0,98,False,,0,,tt10288460,en,Sugar Ray Robinson: Pound for Pound,"In ""Sugar Ray Robinson - Pound for Pound,"" the champ is profiled, from his early days to his welterweight victories and his five-time winning of the middleweight championship. Show business called to Robinson, and he had a brief sojourn as a tap dancer, but returned to the ring to win five more titles. Boxing greats add their commentary, including Muhammad Ali, Rocky Marciano, Joe Louis, Joe Frazier, Gene Tunney, and Jack Dempsey.",0.876,https://image.tmdb.org/t/p/w780/hkdW4nItgGmwPYUJ5ZTurBpYHa1.jpg,,Documentary,,,,"sports, boxing",1970,7,1,"In ""Sugar Ray Robinson - Pound for Pound,"" the champ is profiled, from his early days to his welterweight victories and his five-time winning of the middleweight championship. Show business called to Robinson, and he had a brief sojourn as a tap dancer, but returned to the ring to win five more titles. Boxing greats add their commentary, including Muhammad Ali, Rocky Marciano, Joe Louis, Joe Frazier, Gene Tunney, and Jack Dempsey.  sports, boxing",ray robinson pound pound champ profiled early days welterweight victories winning middleweight show business called robinson brief sojourn tap dancer returned ring win five boxing greats add commentary including muhammad ali rocky marciano joe louis joe frazier gene tunney jack sports boxing
755909,Inconstância,0.0,0,Released,2011-07-19,0,7,False,,0,,,pt,Inconstância,"Cold and silence. As a company, only loneliness. Immersed in a gray world, Jacinto realizes that the simplicity of the gardener can bring the warmth and happiness that your life needs.",0.6,https://image.tmdb.org/t/p/w780/qYceh9ziLu3kg9KQARjQsyXxu5c.jpg,,,Rosza Filmes Produções,Brazil,,,2011,7,19,"Cold and silence. As a company, only loneliness. Immersed in a gray world, Jacinto realizes that the simplicity of the gardener can bring the warmth and happiness that your life needs.  ",cold company immersed gray world jacinto realizes simplicity gardener bring warmth happiness life
755910,Rocco's Intimate Castings 27,0.0,0,Released,2019-05-20,0,175,True,/riG02NlrK3z6LdoadRbxZjnyyfu.jpg,0,,,en,Rocco's Intimate Castings 27,"Sexual icon Rocco Siffredi makes it his business to discover fresh XXX talent. He auditions lustful porn prospects in his private office, and he presents his latest batch of tryouts in ""Rocco's Intimate Castings #27."" All-natural Euro-beauties prove their skills with the accomplished director/suave stud's notoriously huge cock, and he shows his taste for foot fetish.",0.6,https://image.tmdb.org/t/p/w780/oTkow6rXjOEvecouzrTs7FryFC4.jpg,,,Evil Angel,United States of America,English,,2019,5,20,"Sexual icon Rocco Siffredi makes it his business to discover fresh XXX talent. He auditions lustful porn prospects in his private office, and he presents his latest batch of tryouts in ""Rocco's Intimate Castings #27."" All-natural Euro-beauties prove their skills with the accomplished director/suave stud's notoriously huge cock, and he shows his taste for foot fetish.  ","sexual icon rocco siffredi makes business discover fresh xxx auditions lustful porn prospects private office presents latest batch tryouts ""rocco's intimate castings #27."" prove skills accomplished notoriously huge cock shows taste foot"
755911,The Hippy Hooker,0.0,0,Released,1974-01-01,0,58,True,,0,,tt0125146,en,The Hippy Hooker,"Keith recalls in boring fashion a dream he had of picking up a skanky ""hippy"" hooker older than himself, and mistreating her. His dippy blonde girl friend is much amused, and we are supposed to enjoy the misogyny depicted on screen. They eventually go to an orgy at his friend Irma's place",0.6,https://image.tmdb.org/t/p/w780/ez8jXCfYTXDOzOwMLYMXZ2Qiesg.jpg,,,,United States of America,,,1974,1,1,"Keith recalls in boring fashion a dream he had of picking up a skanky ""hippy"" hooker older than himself, and mistreating her. His dippy blonde girl friend is much amused, and we are supposed to enjoy the misogyny depicted on screen. They eventually go to an orgy at his friend Irma's place  ","keith recalls boring fashion dream picking skanky ""hippy"" hooker older mistreating dippy blonde girl friend much amused supposed enjoy misogyny depicted eventually orgy friend place"
755913,His Loving Daughter,0.0,0,Released,1971-11-01,0,60,True,,0,,tt0140170,en,His Loving Daughter,"A financial advisor is torn between his female client and his young daughter's female best friend. Meanwhile, his other female client seduces both his daughter and her girlfriend.",0.6,https://image.tmdb.org/t/p/w780/sqPuBtLEEbHjh2rNLxbnMYoWJqe.jpg,,Romance,,United States of America,English,"lesbian sex, threesome, voyeurism, sex",1971,11,1,"A financial advisor is torn between his female client and his young daughter's female best friend. Meanwhile, his other female client seduces both his daughter and her girlfriend.  lesbian sex, threesome, voyeurism, sex",financial advisor torn female client young female best meanwhile female client seduces daughter lesbian sex threesome voyeurism sex
755915,A Deal with the Devil,0.0,0,Released,2020-07-17,0,5,False,,7125,,tt12724670,en,A Deal with the Devil,A group of friends are captured and tied up in a basement by a masked serial killer with an ultimatum; join him or die.,0.6,https://image.tmdb.org/t/p/w780/u3W1L9omj5RrSTHy7s3T8NW0Vqx.jpg,,Horror,"Paid In Blood Films, Shadow Wolves Productions",,,short film,2020,7,17,A group of friends are captured and tied up in a basement by a masked serial killer with an ultimatum; join him or die.  short film,group friends captured tied basement masked serial killer join short film
755920,Hollywood Harlots,0.0,0,Released,1979-01-01,0,55,True,,0,,tt1521836,en,Hollywood Harlots,"This place may be a bit tough to find, but people drive in from all around to see our shows. Long haul truckers, traveling salesmen, spurned husbands...they all know the place. Those bikers over there? Harmless, though I suggest you don't stare. Keep your eyes on the screen, which shouldn't be hard. You will see the steamiest, fleshiest, and most triple X-rated films direct from California and New York City. Popcorn? Sorry, I don't think that machine works anymore. Welcome to the Dirty Drive In.",0.6,https://image.tmdb.org/t/p/w780/mOFgsd32ca9LvIZ81zFvSDp6DAt.jpg,,,Impulse Productions,United States of America,,,1979,1,1,"This place may be a bit tough to find, but people drive in from all around to see our shows. Long haul truckers, traveling salesmen, spurned husbands...they all know the place. Those bikers over there? Harmless, though I suggest you don't stare. Keep your eyes on the screen, which shouldn't be hard. You will see the steamiest, fleshiest, and most triple X-rated films direct from California and New York City. Popcorn? Sorry, I don't think that machine works anymore. Welcome to the Dirty Drive In.  ",place may bit tough find people drive around see long haul truckers traveling salesmen spurned husbands...they know bikers harmless though suggest keep eyes screen see steamiest fleshiest triple films direct california new york sorry think machine works welcome dirty drive
755892,Bullet Videopac 2,0.0,0,Released,1982-01-01,0,58,True,,0,,,en,Bullet Videopac 2,"Collection of four short films from the Target Studios vault. Includes the films: Satisfaction (a.k.a. Bull Dozier), The Basement (a.k.a. The Super), Pool Party (a.k.a. Pool Piece),  and In And Out (a.k.a. Full Circle).",0.6,https://image.tmdb.org/t/p/w780/duAq3FktFVcoPNeTe03fGOcQwgX.jpg,,,"Target Studios, Bullet Productions",United States of America,No Language,gay pornography,1982,1,1,"Collection of four short films from the Target Studios vault. Includes the films: Satisfaction (a.k.a. Bull Dozier), The Basement (a.k.a. The Super), Pool Party (a.k.a. Pool Piece),  and In And Out (a.k.a. Full Circle).  gay pornography",collection four short films target studios includes satisfaction (a.k.a. bull basement (a.k.a. pool party (a.k.a. pool (a.k.a. full circle). gay pornography
755890,Ally & Obie,0.0,0,Released,2018-05-02,0,71,False,,0,,tt4170168,en,Ally & Obie,"Twelve-year-old Ally is trying to adjust to a new school and new friends with the help of her faithful companion, a talking dog named Obie. Ally's parents have saved for a summer trip to California, but they can go only if Ally does well in her class. Ally is relying on Obie to help her, but her plans are complicated when Obie goes missing.",0.6,https://image.tmdb.org/t/p/w780/cv0ZTckqfFcB9OdxXL8uAVe5SDN.jpg,Who Says Diamonds are a Girl's Best Friend?,Family,,,English,,2018,5,2,"Twelve-year-old Ally is trying to adjust to a new school and new friends with the help of her faithful companion, a talking dog named Obie. Ally's parents have saved for a summer trip to California, but they can go only if Ally does well in her class. Ally is relying on Obie to help her, but her plans are complicated when Obie goes missing. Who Says Diamonds are a Girl's Best Friend? ",twelve-year-old ally trying adjust new school new friends help faithful companion talking dog named parents saved summer trip california ally well ally relying obie help plans complicated obie goes says diamonds best
755889,Coercion Orders For The Announcer The Broadcast Of Shame JULIA,0.0,0,Released,2017-03-24,0,161,True,/tYS8oFt9pmXiRIE6YFnPqxobqn3.jpg,0,,,ja,脅迫指令アナウンサー 超羞恥全国放送 JULIA,"Japan's face at 6 pm, top caster JULIA. A threatening letter arrives at her show, which has a high pride and does not allow any compromise in work. ""If you go against the directive, you will kill the president of MOODYZ TV."" And the obscene directives sent one after another. All the staff, who were supposed to be on their side, were afraid of the attached photo of the crime and began broadcasting her sex all over the country as if they were taking the initiative. Please take a look at the sexual intercourse video that flows in the news program.",2.016,https://image.tmdb.org/t/p/w780/ce91oQmlzrabbISXUb3qZRsxxR0.jpg,,Drama,MOODYZ,Japan,Japanese,"tv news anchor, female anchor",2017,3,24,"Japan's face at 6 pm, top caster JULIA. A threatening letter arrives at her show, which has a high pride and does not allow any compromise in work. ""If you go against the directive, you will kill the president of MOODYZ TV."" And the obscene directives sent one after another. All the staff, who were supposed to be on their side, were afraid of the attached photo of the crime and began broadcasting her sex all over the country as if they were taking the initiative. Please take a look at the sexual intercourse video that flows in the news program.  tv news anchor, female anchor","face top caster threatening letter arrives show high pride allow compromise directive kill president moodyz tv."" obscene directives sent one staff supposed side afraid attached photo crime began broadcasting sex country taking please take look sexual intercourse video flows news news anchor female anchor"
